bajau_name,common_name.x,common_name.y,family,species,photo_ID,status
kekea kunih,NA,Masked rabbitfish,Siganidae,Siganus vulpinus,2396,
birrah kunih,NA,Rabbitfish,Siganidae,Siganus puellus,2395,
tutuhe,NA,,,,2403,
keapu ngantillo,grouper,grouper,Serranidae,Epinephelus spp.,2416,
bitti gaseh,NA,,,,2439,
kalampeda,sole,Margined sole,Soleidae,Synaptura marginata,2444,
babalaki,NA,Mackerel,Scombridae,Grammatorcynus bilineatus,2433,
gagadih,NA,,,,2432,
taburruh,NA,Yellow boxfish,Ostraciidae,Ostracion cubicus,2425,
epe samo,NA,Scrawled filefish,Monacanthidae,Aluterus scriptus,1968,
lausu kunih boa,NA,Emperor,Lethrinidae,Lethrinus xanthochilus,2441,
keketah,NA,Triple tail,Lobotidae,Lobotus surinamensis,2836,
layah,NA,Scad,Carangidae,Selar spp.,2901,
pogo rompoh,NA,Triggerfish,Balistidae,Canthidermis maculatus,2899,
dayah nyubba bubuluh,NA,Blue trevally,Carangidae,Carangoides ferdau,2886,
keapu bitti,NA,Grouper,Serranidae,Epinephelus spp.,2879,
tata mbang,NA,,,,2877,
pello pote,NA,Zigzag wrasse,Labridae,Halichoeres scapularis,2867,
tampae,NA,Dussumier's halfbeak,Hemiramphidae,Hyporhamphus dissimieri,2861,
epe tarusang,NA,Scrawled filefish,Monacanthidae,Aluterus scriptus,2859,
tabuh,NA,,,,2917,
palu gandah,NA,Cigar wrasse,Labridae,Cheilio inermis,2919,
epe pote,NA,Filefish,Monacanthidae,Monacanthus spp.,2924,
lambe ringnga,NA,Soldierfish,Holocentridae,Plectrypops lima,2894,
turingah,NA,Skipjack tuna,Scombridae,Katsuwonus pelamis,2881,
taburruh sumanga,NA,Boxfish,Ostraciidae,Ostracion meleagris,2940,
pello punsu,NA,Parrotfish,Scarinae,Cetoscarus bicolor,2398,
dodoh kunih,NA,Surgeonfish,Acanthuridae,Acanthurus olivaceus,2937,
dodoh tambako,NA,Surgeonfish,Acanthuridae,Zebrasoma veliferum,2935,
ddo,NA,Angelfishes,Pomacanthidae,Pomacanthus imperator,2930,
tampelo,NA,Trevally,Carangidae,Caranx spp.,3081,
sunu lo ong,NA,Grouper,Serranidae,Plectropomus spp.,3078,
balloa,NA,,,,3608,
aha ang loong,NA,Grouper,Serranidae,Plectropomus spp.,3078,
keapu mirrah,NA,Grouper,Serranidae,Gracila albomarginata,3106,
ahaang dapa,NA,Red snapper,Lutjanidae,Lutjanus bohar,3095,
langsura,NA,Black-banded snapper,Lutjanidae,Lutjanus decussatus,3092,
bangarau,NA,Snapper,Lutjanidae,Lutjanus semicinctus,3089,
keapu kubah,NA,,,Epinephelus undulosus,keapu_kubah,
