bajau_name,common_name.x,common_name.y,family,species,photo_ID,status
dayah nyubba langoang,trevally,Trevally,Carangidae,Caranx spp.,0,
dayah nyubba nyuluh,trevally,Trevally,Carangidae,Caranx spp.,4871,Jan dark moon/Musair
dayah tana,Dayah Tana,NA,NA,NA,0,
dodoh,Surgeonfish,surgeonfish,Acanthuridae,Acanthurus spp.,8672,Sept bright moon/Asiri
dodoh alo,Surgeonfish,surgeonfish,Acanthuridae,Acanthurus auranticavus,6670,April bright moon/Musair
dodoh batu,Surgeonfish,bristle-tooth,Acanthuridae,Ctenochaetus spp.,8968,Oct bright moon/Dahalang
dodoh sirah mira,Surgeonfish,surgeonfish,Acanthuridae,Acanthurus olivaceus,7669,July bright moon/Mbili
dodoh tambelo,Surgeonfish,surgeonfish,Acanthuridae,Acanthurus lineatus,8909,Oct bright moon/Gaos2
ekor kuning,Caseio spp,fusilier,Caesionidae,Caesio cuning,6064,March dark moon/Ardin
epe,scrawled filefish,Scrawled filefish,Monacanthidae,Aluterus scriptus,8534,Sept bright moon/Parjono
epe sammo,Filefish,Scrawled filefish,Monacanthidae,Aluterus scriptus,5986,March dark moon/Parjono
guntor,jobfish,jobfish,Lutjanidae,Aprion virescens,9120,Nov dark moon/Siddeng
guntur,jobfish,jobfish,Lutjanidae,Aprion virescens,7487,July dark moon/Imaduding
gurisa,pufferfish,puffer,Tetraodontidae,Arothron spp.,6030,March dark moon/Siddeng
ila,Chub,Drummer,Kyphosidae,Kyphosus spp.,8590,Sept bright moon/Aco
ingko kunih,Caseio spp,Yellow-tail fusilier,Caesionidae,Caesio cuning,2335,
jarah gigi,Lizardfish,Lizardfish,Synodontidae,Synodus spp.,6119,March bright moon/Irwan
kalabutan,NA,NA,NA,NA,NA,
kalempeda,Margined sole,,,,5766,no need - Feb bright moon/Judor
kalombe,blue trevally,Trevally,Carangidae,Caranx spp.,4870,Jan dark moon/Musair
kambule,dark-banded fusilier,Dark-banded fusilier,Caesionidae,Pterocaesio tile,8522,Sept bright moon/Acong
karo'o,squirrelfish,Silver squirrelfish,Holocentridae,Neoniphon argenteus,8691,Oct dark moon/Mbili
keapu,Grouper,NA,NA,Epinephelus spp.,NA,
keapu bandoka,Grouper,grouper,Serranidae,Cephalopholis argus,9013,Nov dark moon/Aranong
keapu biasa,Grouper,grouper,Serranidae,Epinephelus spilotoceps,9515,Dec bright moon/Aco
keapu bite nyuloh,Grouper,grouper,Serranidae,Cephalopholis argus,9307,Dec dark moon/Isal
keapu bitte loong,Grouper,NA,NA,NA,NA,
keapu bitte mira,Grouper,grouper,Serranidae,Cephalopholis miniata,9012,Nov dark moon/Aranong
keapu bitte tibbo,Grouper,grouper,Serranidae,Epinephelus spilotoceps,8599,Sept bright moon/Aco
keapu buntar tikolo,Grouper,grouper,Serranidae,Epinephelus spp.,8694,Oct dark moon/La kea
keapu cambal,Grouper,grouper,Serranidae,Plectropomus oligacanthus,6281,March bright moon/Hartono
keapu campur,Grouper,grouper,Serranidae,Cephalopholis argus,6212,March bright moon/Siddeng
keapu campuran ngeluhu,Grouper,NA,NA,NA,NA,
keapu coklat,Grouper,grouper,Serranidae,Cephalopholis spp.,6235,March bright moon/Ita
keapu garas,Grouper,grouper,Serranidae,Epinephelus merra,6219,March bright moon/Siddeng
keapu goas,Grouper,NA,NA,NA,NA,
