bajau_name,common_name.x,family,species,photo_ID,fg,habitat,included,status
tatape dodoh,big batfish,NA,NA,NA,NA,NA,NA,
tatape kuneh,Butterfly fish,Chaetodontidae,Forcipiger spp.,7172,Micro-invertivore,Reef,1,June dark moon/Irwan
tatape sirah,bannerfish,Chaetodontidae,Heniochus chrysostomus,7174,Micro-invertivore,Reef,1,June dark moon/Irwan
tatatape,Moorish idol,Zanclidae,Zanclus cornutus,0,Micro-invertivore,Reef,1,
tengiri,Narrow-barred Spanish mackerel,NA,NA,7456,NA,NA,NA,July dark moon/Mustamin
tibbo,Damselfish,Pomacentridae,Pomacentrus spp.,8569,2-Micro-invertivore/3-Spongivore,Reef,1,Sept bright moon/Alwin
tibo pote,Damselfish,Pomacentridae,Dischistodus perspicillatus,6737,Detritivore,Reef,1,April bright moon/Kina
timbaloah,Crocodile or keeltail needlefish,Belonidae,Tylosurus crocodilus,7162,Piscivore,Pelagic,0,June dark moon/Irwan
timbungan,goatfish,Mullidae,Parupeneus spp.,8636,Macro-invertivore,Reef,1,Sept bright moon/Unyil
timbungan garas,manybar goatfish,Mullidae,Parupeneus barberinoides,6648,Micro-invertivore,Reef,1,April bright moon/Ganing
timbungan janggutan,manybar goatfish,Mullidae,Parupeneus spp.,0,Macro-invertivore,Reef,1,
timbungan mira,manybar goatfish,Mullidae,Parupeneus spp.,5785,Macro-invertivore,Reef,1,Feb bright moon/Harjana
timbungan rambayan,manybar goatfish,Mullidae,Upeneus vittatus,8678,Pisci-invertivore,Reef,1,Oct dark moon/Ganing
timbungan sanio,manybar goatfish,Mullidae,Upeneus vittatus,5744,Pisci-invertivore,Reef,1,Feb bright moon/Arsan
timbungan sirah,goatfish,Mullidae,Parupeneus barberinoides,7195,Micro-invertivore,Reef,1,June dark moon/Dendi
